"Table 3. Space Economy Value Added Price Indexes by Industry","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14"
"[index numbers, 2017 = 100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last updated: March 31, 2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"58","Insurance carriers and related activities","97.25","96.790999999999997","97.715000000000003","99.983000000000004","100.49299999999999","100","100.24","102.71299999999999","109.654","112.288","120.298","137.119"
"59","Funds, trusts, and other financial vehicles","98.840999999999994","98.159000000000006","98.49","99.253","97.802000000000007","100","103.093","104.04300000000001","105.498","105.23399999999999","106.32599999999999","107.608"
"60","Real estate and rental and leasing","99.218000000000004","99.334999999999994","99.878","100.271","98.759","100","101.398","102.149","104.139","106.304","111.17100000000001","114.54600000000001"
"61","Real estate","98.602999999999994","98.426000000000002","98.896000000000001","99.652000000000001","98.281999999999996","100","102.07299999999999","102.928","106.03","107.879","110.13500000000001","111.98699999999999"
"62","Housing","99.531999999999996","98.983999999999995","99.376000000000005","99.965999999999994","98.611000000000004","100","101.655","102.28400000000001","104.947","106.30800000000001","108.25","109.98099999999999"
"63","Other real estate","98.430999999999997","98.293999999999997","98.781000000000006","99.576999999999998","98.203000000000003","100","102.176","103.08799999999999","106.3","108.271","110.60899999999999","112.49299999999999"
"64","Rental and leasing services and lessors of intangible assets","100.012","100.31100000000001","100.90600000000001","100.98399999999999","99.317999999999998","100","100.416","101.023","101.182","103.938","113.249","119.232"
"65","Professional and business services","92.82","93.5","95.552999999999997","99.028999999999996","97.165000000000006","100","103.605","105.295","110.693","111.639","113.196","116.21299999999999"
"66","Professional, scientific, and technical services","92.697999999999993","93.388000000000005","95.454999999999998","98.984999999999999","97.132999999999996","100","103.64100000000001","105.369","110.842","111.77500000000001","113.328","116.39700000000001"
"67","Legal services","102.807","102.011","101.73099999999999","101.718","99.971000000000004","100","99.73","99.031999999999996","98.885000000000005","97.596999999999994","97.873999999999995","98.65"
"68","Computer systems design and related services","106.426","105.426","104.581","103.748","101.59699999999999","100","97.947999999999993","95.334000000000003","93.275999999999996","89.34","86.525000000000006","87.003"
"69","Miscellaneous professional, scientific, and technical services","91.656000000000006","92.460999999999999","94.695999999999998","98.518000000000001","96.691000000000003","100","104.289","106.504","112.92","114.595","116.84099999999999","120.273"
"70","Management of companies and enterprises","95.899000000000001","96.385000000000005","98.167000000000002","99.91","97.668000000000006","100","102.90900000000001","103.857","107.723","109.11","110.843","112.411"
"71","Administrative and waste management services","98.466999999999999","97.957999999999998","98.89","100.276","98.221999999999994","100","102.423","102.973","106.081","107.203","108.759","110.357"
"72","Administrative and support services","98.453000000000003","97.945999999999998","98.885000000000005","100.27500000000001","98.22","100","102.426","102.976","106.087","107.211","108.76900000000001","110.36799999999999"
"73","Waste management and remediation services","104.794","103.85899999999999","102.685","101.711","100.373","100","99.855000000000004","99.174000000000007","98.802000000000007","97.313999999999993","97.29","97.867000000000004"
"74","Educational services, health care, and social assistance","95.301000000000002","96.694000000000003","99.161000000000001","96.736000000000004","98.061999999999998","100","103.242","104.626","105.378","105.46599999999999","107.96599999999999","110.35299999999999"
"75","Educational services","95.376999999999995","96.793000000000006","99.265000000000001","96.613","98.114000000000004","100","103.22","104.601","105.226","105.25700000000001","107.816","110.256"
